time,v_x,v_y,v_z,v,vx/v,vy/v,vz/v,F_Mx,F_D,F_Dx,F_Dy,F_Dz,x,y,z,,,,Condition 1
0.0001,0.01,7.087580798,4.138404808,8.20733184,0.001218423,0.863566983,0.504232665,2.16E-06,1.081469621,0.001317687,0.933921458,0.54531231,1.00E-06,0.000708751,0.000413787,,,,
0.0002,0.009999576,7.087279533,7.085317533,10.02154458,0.000997808,0.707204312,0.707008533,2.16E-06,1.081469621,0.001079099,0.764819979,0.764608251,2.00E-06,0.001417491,0.00082746,,,,
0.0003,0.009999479,7.087210724,7.084267724,10.02075372,0.000997877,0.707253259,0.706959569,2.16E-06,1.607971582,0.001079174,0.764872914,0.764555297,3.00E-06,0.002126192,0.001240997,,,,
0.0004,0.009998966,7.086847093,7.082923093,10.01954596,0.000997946,0.707302219,0.706910585,2.16E-06,1.607719392,0.001079248,0.764925863,0.764502322,4.00E-06,0.002834886,0.00165443,,,,
0.0005,0.009998708,7.086663747,7.081758747,10.01859321,0.000998015,0.707351182,0.706861592,2.16E-06,1.607334301,0.001079323,0.764978814,0.764449338,5.00E-06,0.003543561,0.002067747,,,,
0.0006,0.00999845,7.086480524,7.080594524,10.01764069,0.000998084,0.70740015,0.706812586,2.16E-06,1.607030553,0.001079398,0.765031772,0.76439634,6.00E-06,0.004252218,0.002480947,,,,
0.0007,0.009998192,7.086297299,7.079430299,10.01668821,0.000998153,0.707449124,0.706763568,2.16E-06,1.606726904,0.001079473,0.765084736,0.764343328,7.00E-06,0.004960857,0.002894031,,,,
0.0008,0.009997933,7.086114118,7.078266118,10.01573584,0.000998223,0.707498104,0.706714537,2.16E-06,1.606423297,0.001079547,0.765137706,0.764290302,8.00E-06,0.005669478,0.003306999,,,,
0.0009,0.009997675,7.08593098,7.07710198,10.01478358,0.000998292,0.70754709,0.706665493,2.16E-06,1.606119755,0.001079622,0.765190683,0.764237263,9.00E-06,0.00637808,0.00371985,,,,
0.001,0.009997417,7.085747886,7.075937886,10.01383144,0.000998361,0.707596082,0.706616437,2.16E-06,1.605816276,0.001079697,0.765243666,0.76418421,1.00E-05,0.007086664,0.004132585,,,,
0.0011,0.009997159,7.085564837,7.074773837,10.0128794,0.00099843,0.707645079,0.706567367,2.16E-06,1.605512861,0.001079772,0.765296656,0.764131143,1.10E-05,0.00779523,0.004545203,,,,
0.0012,0.009996902,7.085381831,7.073609831,10.01192747,0.000998499,0.707694083,0.706518286,2.16E-06,1.60520951,0.001079847,0.765349652,0.764078063,1.20E-05,0.008503778,0.004957706,,,,
0.0013,0.009996644,7.085198868,7.072445868,10.01097565,0.000998568,0.707743093,0.706469191,2.16E-06,1.604906223,0.001079921,0.765402654,0.764024968,1.30E-05,0.009212307,0.005370092,,,,
0.0014,0.009996386,7.08501595,7.07128195,10.01002394,0.000998638,0.707792108,0.706420083,2.16E-06,1.604602999,0.001079996,0.765455663,0.76397186,1.40E-05,0.009920818,0.005782361,,,,
0.0015,0.009996128,7.084833076,7.070118076,10.00907235,0.000998707,0.70784113,0.706370963,2.16E-06,1.604299839,0.001080071,0.765508678,0.763918738,1.50E-05,0.010629311,0.006194515,,,,
0.0016,0.009995871,7.084650245,7.068954245,10.00812086,0.000998776,0.707890157,0.70632183,2.16E-06,1.603996743,0.001080146,0.7655617,0.763865602,1.60E-05,0.011337785,0.006606552,,,,
0.0017,0.009995613,7.084467458,7.067790458,10.00716948,0.000998845,0.70793919,0.706272685,2.16E-06,1.603693711,0.001080221,0.765614728,0.763812453,1.70E-05,0.012046241,0.007018473,,,,
0.0018,0.009995356,7.084284715,7.066626715,10.00621821,0.000998914,0.707988229,0.706223527,2.16E-06,1.603390742,0.001080296,0.765667762,0.76375929,1.80E-05,0.012754679,0.007430278,,,,
0.0019,0.009995098,7.084102015,7.065463015,10.00526706,0.000998984,0.708037274,0.706174355,2.16E-06,1.603087837,0.00108037,0.765720803,0.763706113,1.90E-05,0.013463099,0.007841966,,,,
0.002,0.009994841,7.08391936,7.06429936,10.00431601,0.000999053,0.708086325,0.706125172,2.16E-06,1.602784995,0.001080445,0.76577385,0.763652922,2.00E-05,0.014171501,0.008253539,,,,
0.0021,0.009994584,7.083736748,7.063135748,10.00336507,0.000999122,0.708135382,0.706075975,2.16E-06,1.602482218,0.00108052,0.765826903,0.763599717,2.10E-05,0.014879884,0.008664995,,,,
0.0022,0.009994326,7.08355418,7.06197218,10.00241425,0.000999191,0.708184445,0.706026766,2.16E-06,1.602179504,0.001080595,0.765879963,0.763546499,2.20E-05,0.015588249,0.009076335,,,,
0.0023,0.009994069,7.083371655,7.060808655,10.00146353,0.000999261,0.708233513,0.705977544,2.16E-06,1.601876853,0.00108067,0.765933029,0.763493267,2.30E-05,0.016296596,0.009487559,,,,
0.0024,0.009993812,7.083189174,7.059645174,10.00051292,0.00099933,0.708282588,0.705928309,2.16E-06,1.601574266,0.001080745,0.765986102,0.763440021,2.40E-05,0.017004925,0.009898667,,,,
0.0025,0.009993555,7.083006737,7.058481737,9.999562427,0.000999399,0.708331668,0.705879061,2.16E-06,1.601271743,0.00108082,0.766039181,0.763386761,2.50E-05,0.017713235,0.010309659,,,,
0.0026,0.009993298,7.082824344,7.057318344,9.998612041,0.000999469,0.708380755,0.705829801,2.16E-06,1.600969284,0.001080895,0.766092266,0.763333487,2.60E-05,0.018421527,0.010720534,,,,
0.0027,0.009993041,7.082641994,7.056154994,9.997661765,0.000999538,0.708429847,0.705780527,2.16E-06,1.600666888,0.00108097,0.766145358,0.7632802,2.70E-05,0.019129802,0.011131294,,,,
0.0028,0.009992784,7.082459688,7.054991688,9.996711599,0.000999607,0.708478945,0.705731241,2.16E-06,1.600364555,0.001081045,0.766198456,0.763226898,2.80E-05,0.019838058,0.011541937,,,,
0.0029,0.009992527,7.082277425,7.053828425,9.995761543,0.000999676,0.708528049,0.705681943,2.16E-06,1.600062287,0.00108112,0.766251561,0.763173583,2.90E-05,0.020546295,0.011952465,,,,
0.003,0.009992271,7.082095206,7.052665206,9.994811597,0.000999746,0.708577159,0.705632631,2.16E-06,1.599760081,0.001081195,0.766304672,0.763120254,3.00E-05,0.021254515,0.012362876,,,,
0.0031,0.009992014,7.081913031,7.051502031,9.993861762,0.000999815,0.708626275,0.705583307,2.16E-06,1.59945794,0.00108127,0.766357789,0.763066912,3.10E-05,0.021962716,0.012773172,,,,
0.0032,0.009991757,7.081730899,7.050338899,9.992912036,0.000999884,0.708675396,0.70553397,2.16E-06,1.599155862,0.001081345,0.766410913,0.763013555,3.20E-05,0.0226709,0.013183351,,,,
0.0033,0.009991501,7.081548811,7.049175811,9.99196242,0.000999954,0.708724524,0.70548462,2.16E-06,1.598853847,0.00108142,0.766464043,0.762960185,3.30E-05,0.023379065,0.013593414,,,,
0.0034,0.009991244,7.081366767,7.048012767,9.991012915,0.001000023,0.708773658,0.705435257,2.16E-06,1.598551896,0.001081495,0.766517179,0.762906801,3.40E-05,0.024087212,0.014003362,,,,
0.0035,0.009990988,7.081184766,7.046849766,9.99006352,0.001000093,0.708822797,0.705385882,2.16E-06,1.598250008,0.00108157,0.766570322,0.762853402,3.50E-05,0.024795341,0.014413193,,,,
0.0036,0.009990732,7.081002808,7.045686808,9.989114234,0.001000162,0.708871942,0.705336494,2.16E-06,1.597948184,0.001081645,0.766623471,0.762799991,3.60E-05,0.025503452,0.014822909,,,,
0.0037,0.009990475,7.080820894,7.044523894,9.988165059,0.001000231,0.708921093,0.705287093,2.16E-06,1.597646424,0.00108172,0.766676626,0.762746565,3.70E-05,0.026211545,0.015232508,,,,
0.0038,0.009990219,7.080639024,7.043361024,9.987215994,0.001000301,0.70897025,0.705237679,2.16E-06,1.597344727,0.001081795,0.766729788,0.762693125,3.80E-05,0.026919619,0.015641992,,,,
0.0039,0.009989963,7.080457197,7.042198197,9.986267039,0.00100037,0.709019413,0.705188252,2.16E-06,1.597043093,0.00108187,0.766782956,0.762639672,3.90E-05,0.027627676,0.016051359,,,,
0.004,0.009989707,7.080275414,7.041035414,9.985318194,0.001000439,0.709068582,0.705138813,2.16E-06,1.596741523,0.001081945,0.766836131,0.762586205,4.00E-05,0.028335714,0.016460611,,,,
0.0041,0.009989451,7.080093674,7.039872674,9.984369459,0.001000509,0.709117757,0.70508936,2.16E-06,1.596440016,0.00108202,0.766889312,0.762532723,4.10E-05,0.029043735,0.016869747,,,,
0.0042,0.009989195,7.079911978,7.038709978,9.983420834,0.001000578,0.709166937,0.705039895,2.16E-06,1.596138573,0.001082095,0.766942499,0.762479228,4.20E-05,0.029751737,0.017278767,,,,
0.0043,0.009988939,7.079730325,7.037547325,9.982472319,0.001000648,0.709216124,0.704990417,2.16E-06,1.595837193,0.00108217,0.766995693,0.762425719,4.30E-05,0.030459721,0.017687671,,,,
0.0044,0.009988683,7.079548716,7.036384716,9.981523914,0.001000717,0.709265316,0.704940926,2.16E-06,1.595535877,0.001082245,0.767048893,0.762372197,4.40E-05,0.031167687,0.01809646,,,,
0.0045,0.009988427,7.07936715,7.03522215,9.98057562,0.001000787,0.709314514,0.704891423,2.16E-06,1.595234624,0.00108232,0.767102099,0.76231866,4.50E-05,0.031875635,0.018505132,,,,
0.0046,0.009988171,7.079185627,7.034059627,9.979627435,0.001000856,0.709363719,0.704841906,2.16E-06,1.594933434,0.001082395,0.767155312,0.76226511,4.60E-05,0.032583565,0.018913689,,,,
0.0047,0.009987915,7.079004148,7.032897148,9.97867936,0.001000926,0.709412929,0.704792377,2.16E-06,1.594632308,0.001082471,0.767208531,0.762211545,4.70E-05,0.033291477,0.01932213,,,,
0.0048,0.00998766,7.078822712,7.031734712,9.977731396,0.001000995,0.709462144,0.704742835,2.16E-06,1.594331245,0.001082546,0.767261757,0.762157967,4.80E-05,0.033999371,0.019730455,,,,
0.0049,0.009987404,7.07864132,7.03057232,9.976783541,0.001001065,0.709511366,0.70469328,2.16E-06,1.594030246,0.001082621,0.767314988,0.762104375,4.90E-05,0.034707247,0.020138664,,,,
0.005,0.009987149,7.078459971,7.029409971,9.975835797,0.001001134,0.709560594,0.704643712,2.16E-06,1.593729309,0.001082696,0.767368227,0.762050769,5.00E-05,0.035415105,0.020546758,,,,
0.0051,0.009986893,7.078278665,7.028247665,9.974888162,0.001001204,0.709609827,0.704594132,2.16E-06,1.593428437,0.001082771,0.767421471,0.761997149,5.10E-05,0.036122944,0.020954736,,,,
0.0052,0.009986638,7.078097403,7.027085403,9.973940638,0.001001273,0.709659067,0.704544538,2.16E-06,1.593127627,0.001082846,0.767474722,0.761943515,5.20E-05,0.036830766,0.021362598,,,,
0.0053,0.009986382,7.077916184,7.025923184,9.972993223,0.001001343,0.709708312,0.704494932,2.16E-06,1.592826881,0.001082922,0.767527979,0.761889867,5.30E-05,0.03753857,0.021770344,,,,
0.0054,0.009986127,7.077735009,7.024761009,9.972045919,0.001001412,0.709757563,0.704445313,2.16E-06,1.592526198,0.001082997,0.767581243,0.761836206,5.40E-05,0.038246356,0.022177975,,,,
0.0055,0.009985872,7.077553877,7.023598877,9.971098725,0.001001482,0.70980682,0.704395681,2.16E-06,1.592225578,0.001083072,0.767634513,0.76178253,5.50E-05,0.038954124,0.02258549,,,,
0.0056,0.009985617,7.077372788,7.022436788,9.97015164,0.001001551,0.709856083,0.704346036,2.16E-06,1.591925022,0.001083147,0.767687789,0.761728841,5.60E-05,0.039661873,0.022992889,,,,
0.0057,0.009985362,7.077191742,7.021274742,9.969204666,0.001001621,0.709905351,0.704296378,2.16E-06,1.591624529,0.001083222,0.767741072,0.761675138,5.70E-05,0.040369605,0.023400173,,,,
0.0058,0.009985107,7.07701074,7.02011274,9.968257802,0.00100169,0.709954626,0.704246708,2.16E-06,1.591324099,0.001083298,0.767794361,0.76162142,5.80E-05,0.041077319,0.023807341,,,,
0.0059,0.009984852,7.076829781,7.018950781,9.967311047,0.00100176,0.710003907,0.704197024,2.16E-06,1.591023733,0.001083373,0.767847656,0.761567689,5.90E-05,0.041785015,0.024214393,,,,
