time,v_x,v_y,v_z,v,vx/v,vy/v,vz/v,F_Mx,F_D,F_Dx,F_Dy,F_Dz,x,y,z
0.0001,0.01,6.349820169,4.090675211,7.553405845,0.001323906,0.840656559,0.541566983,2.15646E-06,0.916001062,0.001212699,0.770042301,0.496075931,9.9999E-07,0.000634976,0.000409014
0.0002,0.00999961,6.349571768,6.347609768,8.978268842,0.001113757,0.707215598,0.70699707,2.15646E-06,0.916001062,0.001020203,0.647810239,0.647610067,1.99997E-06,0.001269943,0.000817918
0.0003,0.009999507,6.349506712,6.346563712,8.977483302,0.001113843,0.707270234,0.706942413,2.15629E-06,1.291048678,0.001020281,0.647860285,0.647560001,2.9999E-06,0.00190488,0.001226695
0.0004,0.009999074,6.349231059,6.345307059,8.976399985,0.001113929,0.707324882,0.706887736,2.15625E-06,1.290824224,0.00102036,0.647910343,0.647509916,3.99981E-06,0.00253981,0.001635368
0.0005,0.009998842,6.349083853,6.344178853,8.975498374,0.001114015,0.707379534,0.706833046,2.15607E-06,1.290514719,0.001020439,0.647960404,0.647459821,4.99971E-06,0.003174726,0.002043927
0.0006,0.009998611,6.348936733,6.343050733,8.974596939,0.001114101,0.707434192,0.706778341,2.15597E-06,1.290257155,0.001020518,0.648010471,0.647409711,5.99958E-06,0.003809627,0.002452375
0.0007,0.009998379,6.34878962,6.34192262,8.973695566,0.001114188,0.707488857,0.70672362,2.15587E-06,1.289999668,0.001020597,0.648060544,0.647359587,6.99943E-06,0.004444513,0.002860709
0.0008,0.009998148,6.348642542,6.340794542,8.972794298,0.001114274,0.707543529,0.706668885,2.15578E-06,1.289742224,0.001020676,0.648110624,0.647309449,7.99926E-06,0.005079385,0.003268931
0.0009,0.009997917,6.348495501,6.339666501,8.971893135,0.00111436,0.707598208,0.706614134,2.15568E-06,1.289484835,0.001020755,0.64816071,0.647259297,8.99906E-06,0.005714242,0.003677039
0.001,0.009997686,6.348348496,6.338538496,8.970992077,0.001114446,0.707652893,0.706559368,2.15558E-06,1.289227502,0.001020834,0.648210801,0.647209132,9.99884E-06,0.006349084,0.004085036
0.0011,0.009997455,6.348201527,6.337410527,8.970091123,0.001114532,0.707707585,0.706504587,2.15548E-06,1.288970225,0.001020913,0.648260899,0.647158952,1.09986E-05,0.006983912,0.004492919
0.0012,0.009997224,6.348054593,6.336282593,8.969190274,0.001114618,0.707762284,0.706449791,2.15538E-06,1.288713003,0.001020992,0.648311004,0.647108759,1.19983E-05,0.007618725,0.00490069
0.0013,0.009996993,6.347907696,6.335154696,8.968289529,0.001114704,0.70781699,0.706394979,2.15529E-06,1.288455837,0.001021071,0.648361114,0.647058551,1.2998E-05,0.008253523,0.005308348
0.0014,0.009996762,6.347760834,6.334026834,8.967388889,0.001114791,0.707871702,0.706340152,2.15519E-06,1.288198727,0.001021149,0.648411231,0.64700833,1.39977E-05,0.008888307,0.005715893
0.0015,0.009996531,6.347614009,6.332899009,8.966488353,0.001114877,0.707926421,0.70628531,2.15509E-06,1.287941671,0.001021228,0.648461353,0.646958094,1.49974E-05,0.009523076,0.006123326
0.0016,0.0099963,6.347467219,6.331771219,8.965587923,0.001114963,0.707981147,0.706230453,2.15499E-06,1.287684672,0.001021307,0.648511482,0.646907845,1.5997E-05,0.01015783,0.006530646
0.0017,0.009996069,6.347320465,6.330643465,8.964687596,0.001115049,0.708035879,0.70617558,2.1549E-06,1.287427727,0.001021386,0.648561617,0.646857581,1.69967E-05,0.01079257,0.006937854
0.0018,0.009995839,6.347173748,6.329515748,8.963787375,0.001115136,0.708090619,0.706120692,2.1548E-06,1.287170839,0.001021465,0.648611759,0.646807304,1.79963E-05,0.011427295,0.007344948
0.0019,0.009995608,6.347027066,6.328388066,8.962887258,0.001115222,0.708145365,0.706065789,2.1547E-06,1.286914006,0.001021544,0.648661906,0.646757013,1.89958E-05,0.012062005,0.007751931
0.002,0.009995377,6.34688042,6.32726042,8.961987246,0.001115308,0.708200117,0.706010871,2.15461E-06,1.286657228,0.001021623,0.64871206,0.646706707,1.99954E-05,0.012696701,0.0081588
